location_id,province_name,city_name,district_name,address_line1,postal_code
200000001,广东省,深圳市,宝安区,广东省深圳市宝安区文一西路605号,542417
200000002,江苏省,苏州市,工业园区,江苏省苏州市工业园区文一西路390号,201414
200000003,广东省,深圳市,福田区,广东省深圳市福田区张江路465号,766563
200000004,广东省,深圳市,福田区,广东省深圳市福田区人民路275号,169403
200000005,浙江省,杭州市,西湖区,浙江省杭州市西湖区创新大道94号,892495
200000006,浙江省,杭州市,滨江区,浙江省杭州市滨江区科技南一道977号,857168
200000007,江苏省,苏州市,虎丘区,江苏省苏州市虎丘区建国路60号,352572
200000008,江苏省,苏州市,虎丘区,江苏省苏州市虎丘区创新大道124号,359947
200000009,浙江省,杭州市,滨江区,浙江省杭州市滨江区人民路195号,198907
200000010,浙江省,杭州市,余杭区,浙江省杭州市余杭区创新大道828号,997546
200000011,广东省,深圳市,宝安区,广东省深圳市宝安区科技南一道766号,428838
200000012,上海市,上海市,徐汇区,上海市上海市徐汇区高新南七道958号,373432
200000013,江苏省,苏州市,工业园区,江苏省苏州市工业园区建国路379号,398830
200000014,江苏省,苏州市,工业园区,江苏省苏州市工业园区张江路518号,612262
200000015,浙江省,杭州市,滨江区,浙江省杭州市滨江区星湖街43号,423232
200000016,江苏省,苏州市,虎丘区,江苏省苏州市虎丘区建国路274号,266931
200000017,广东省,深圳市,南山区,广东省深圳市南山区张江路183号,708792
200000018,广东省,深圳市,宝安区,广东省深圳市宝安区张江路520号,424308
200000019,上海市,上海市,徐汇区,上海市上海市徐汇区高新南七道477号,563246
200000020,广东省,深圳市,福田区,广东省深圳市福田区人民路908号,760356
200000021,北京市,北京市,丰台区,北京市北京市丰台区高新南七道973号,891937
200000022,浙江省,杭州市,滨江区,浙江省杭州市滨江区高新南七道328号,666390
200000023,江苏省,苏州市,虎丘区,江苏省苏州市虎丘区人民路874号,976325
200000024,广东省,深圳市,南山区,广东省深圳市南山区人民路139号,584125
200000025,广东省,深圳市,南山区,广东省深圳市南山区建国路205号,979995
200000026,江苏省,苏州市,吴中区,江苏省苏州市吴中区人民路407号,849747
200000027,北京市,北京市,朝阳区,北京市北京市朝阳区人民路984号,479781
200000028,北京市,北京市,海淀区,北京市北京市海淀区科技南一道507号,992288
200000029,广东省,深圳市,福田区,广东省深圳市福田区建国路415号,825391
200000030,北京市,北京市,海淀区,北京市北京市海淀区张江路103号,973074
200000031,北京市,北京市,海淀区,北京市北京市海淀区高新南七道189号,153872
200000032,北京市,北京市,海淀区,北京市北京市海淀区人民路313号,696251
200000033,江苏省,苏州市,吴中区,江苏省苏州市吴中区创新大道73号,820775
200000034,江苏省,苏州市,吴中区,江苏省苏州市吴中区人民路966号,385470
200000035,北京市,北京市,海淀区,北京市北京市海淀区星湖街600号,557058
200000036,北京市,北京市,丰台区,北京市北京市丰台区科技南一道674号,668950
200000037,上海市,上海市,闵行区,上海市上海市闵行区文一西路231号,982277
200000038,上海市,上海市,闵行区,上海市上海市闵行区科技南一道290号,861319
200000039,北京市,北京市,朝阳区,北京市北京市朝阳区高新南七道763号,595951
200000040,浙江省,杭州市,余杭区,浙江省杭州市余杭区创新大道801号,377896
200000041,广东省,深圳市,福田区,广东省深圳市福田区星湖街711号,414012
200000042,浙江省,杭州市,余杭区,浙江省杭州市余杭区创新大道654号,366314
200000043,江苏省,苏州市,吴中区,江苏省苏州市吴中区张江路717号,409571
200000044,广东省,深圳市,宝安区,广东省深圳市宝安区高新南七道750号,237795
200000045,浙江省,杭州市,余杭区,浙江省杭州市余杭区人民路991号,986827
200000046,上海市,上海市,闵行区,上海市上海市闵行区建国路664号,166287
200000047,浙江省,杭州市,滨江区,浙江省杭州市滨江区文一西路854号,613117
